adjudicated	Text	Final_Label
0	 so that when the Court of Arbitration nominates them and the Assembly and Council of the League elect them, they are not acting as instruments of the Court of Arbitration or instruments of the league, but as instruments of the statute.This will be even more apparent if our representatives sit with the members of the council and assembly in electing the judges. It is true they are paid through the league though not by the league, but by the countries which are members of the league and by our country if we accept the protocol. The judges are paid by the league only in the same sense that it could be said United States judges are paid by the Congress. The court derives all its authority from the statute and is so completely independent of the league that it could go on functioning if the league were disbanded, at least until the terms of the judges expired.The most careful provisions are made in the statute as to the qualifications of judges. Those who make the nominations are recommended to consult with their highest court of justice, their law schools and academies. The judges must be persons of high moral character, qualified to hold the highest judicial offices in that country, or be jurisconsults of recognized competence in international law. It must be assumed that these requirements will continue to be carefully met, and with America joining the countries already concerned it is difficult to comprehend how human ingenuity could	E
1	$24,400,997.38, and expenditures, exclusive of postal service, $28,796,056.66, a deficit of $4,395,059.28; or a total deficiency of $186,061,580.44 for the three years and eight months ending March 1, 1897. Not only are we without a surplus in the Treasury, but with an increase in the public debt there has been a corresponding increase in the annual interest charge, from $22,893,883.20 in 1892, the lowest of any year since 1862, to $34,387,297.60 in 1896, or an increase of $11,493,414.40. It may be urged that even if the revenues of the Government had been sufficient to meet all its ordinary expenses during the past three years, the gold reserve would still have been insufficient to meet the demands upon it, and that bonds would necessarily have been issued for its repletion. Be this as it may, it is clearly manifest, without denying or affirming the correctness of such a conclusion, that the debt would have been decreased in at least the amount of the deficiency, and business confidence immeasurably strengthened throughout the country. Congress should promptly correct the existing condition. Ample revenues must be supplied not only for the ordinary expenses of the Government, but for the prompt payment of liberal pensions and the liquidation of the principal and interest of the public debt. In raising revenue, duties should be so levied upon foreign products as to preserve the home market, so far as possible, to our own producers; to revive and increase manufactures; to relieve and encourage agriculture; to increase our	E
2	18,000 are engaged in the Coast Artillery and detailed to the management and use of the guns in the forts and batteries that protect our coasts. The rest of the Army, or about 60,000, is the mobile part of our national forces and is divided into 31 regiments of infantry, including the Porto Rican regiment, 15 regiments of cavalry, 6 regiments of field artillery, a corps of ordnance, of engineers, and of signal, a quartermaster's department, a commissary department, and a medical corps.The general plan for an army of the United States at peace should be that of a skeleton organization with an excess of trained officers and thus capable of rapid enlargement by enlistments, to be supplemented in emergency by the national militia and a volunteer force. In some measure this plan has been adopted in the very large proportion of cavalry and field artillery as compared with infantry in the present army and on a peace basis. An infantry force can be trained in six months; a cavalry or a light artillery force not under one and one-half or two years; hence the importance of having ready a larger number of the more skilled soldiers.The militia system, for which Congress by the Constitution is authorized to provide, was developed by the so-called Dick law, under which the discipline, the tactics, the drill, the rank, the uniform, and the various branches of the militia are assimilated as far as possible to those of the Regular Army. Under the militia	E
3	1919. This has been a normal and natural application of economic laws, which has placed agriculture on a foundation which is undeniably sound and beginning to be satisfactory.A decrease in the world supply of wheat has resulted in a very large increase in the price of that commodity. The position of all agricultural products indicates a better balanced supply, but we can not yet conclude that agriculture is recovered from the effects of the war period or that it is permanently on a prosperous basis. The cattle industry has not yet recovered and in some sections has been suffering from dry weather. Every effort must be made both by Government activity and by private agencies to restore and maintain agriculture to a complete normal relationship with other industries.It was on account of past depression, and in spite of present more encouraging conditions, that I have assembled an Agricultural Conference made up of those who are representative of this great industry in both its operating and economic sides. Everyone knows that the great need of the farmers is markets. The country is not suffering on the side of production. Almost the entire difficulty is on the side of distribution. This reaches back, of course, to unit costs and diversification, and many allied subjects. It is exceedingly intricate, for our domestic and foreign trade, transportation and banking, and in fact our entire economic system, are closely related to it. In time for action at this session, I hope to report to the	E
4	23 million school children under the Safe and Drug-Free Schools Act. I don’t think that means you’re soft on drugs. We just have a different approach. But let me remind you that my family has suffered from drug abuse. I know what it’s like to see somebody you love nearly lose their lives, and I hate drugs, Senator. We need to do this together, and we can. Gun Control LEHRER: Senator Dole, on the Government—continuing to talk about the government’s role—if elected President, would you seek to repeal the Brady bill and the ban on assault weapons? SENATOR DOLE: Not if I didn’t have a better idea, but I’ve got a better idea. It’s something I’ve worked on for 15 years. It’s called the automated check, or the instant check. It’s being used in 17 states right now, States like Florida, Colorado, Virginia, and other states. You don’t buy any gun—you don’t get any gun. We’ve got 20 million names on a computer in Washington, DC, of people who should not have a gun. We ought to keep guns out of the hands of criminals, and there are eight other categories that should not have guns. I’ve been working on this for a long, long time. You walk in, you put your little card in there. If it says “tilt,” you don’t get any gun. You don’t get a handgun; you don’t get a rifle; you don’t get a shotgun. You get zippo. If we’re going to protect American children	CTA
5	3,000 now have some such unit organization. Where highly developed, a health unit comprises at least a physician, sanitary engineer, and community nurse with the addition, in some cases, of another nurse devoted to the problems of maternity and children. Such organization gives at once a fundamental control of preventive measures and assists in community instruction. The Federal Government, through its interest in control of contagion, acting through the United States Public Health Service and the State agencies, has in the past and should in the future concern itself with this development, particularly in the many rural sections which are unfortunately far behind in progress. Some parts of the funds contributed under the Sheppard-Towner Act through the Children&#39;s Bureau of the Department of Labor have also found their way into these channels. I recommend to the Congress that the purpose of the Sheppard Towner Act should be continued through the Children&#39;s Bureau for a limited period of years; and that the Congress should consider the desirability of confining the use of Federal funds by the States to the building up of such county or other local units, and that such outlay should be positively coordinated with the funds expended through the United States Public Health Service directed to other phases of the same county or other local unit organization. All funds appropriated should of course be applied through the States, so that the public health program of the county or local unit will be efficiently coordinated with that of the	E
6	8. We have agreed that there will be a cease-fire, we have agreed that our prisoners of war will be returned and that the missing in action will be accounted for, and we have agreed that the people of South Vietnam shall have the right to determine their own future without having a Communist government or a coalition government imposed upon them against their will. There are still some details that I am insisting be worked out and nailed down because I want this not to be a temporary peace. I want, and I know you want, it to be a lasting peace. But I can say to you with complete confidence tonight that we will soon reach agreement on all the issues and bring this long and difficult war to an end. You can help achieve that goal. By your votes, you can send a message to those with whom we are negotiating, and to the leaders of the world, that you back the President of the United States in his insistence that we in the United States seek peace with honor and never peace with surrender. I will not go into the other issues tonight, except to say that as we move to peace, we will open doors to progress on many fronts here at home. It means that we can have something we haven't had since President Eisenhower was President 15 years ago—prosperity without war and without inflation. It means we can have progress toward better education,	C
7	Americans. We should protect them. I am proposing a public-private partnership to advance our arts and humanities and to celebrate the millennium by saving American's treasures, great and small. And while we honor the past, let us imagine the future. Now, think about this: The entire store of human knowledge now doubles every five years. In the 1980s, scientists identified the gene causing cystic fibrosis; it took nine years. Last year scientists located the gene that causes Parkinson's Disease—in only nine days. Within a decade, "gene chips" will offer a roadmap for prevention of illnesses throughout a lifetime. Soon we'll be able to carry all the phone calls on Mother's Day on a single strand of fiber the width of a human hair. A child born in 1998 may well live to see the 22nd century. Tonight, as part of our gift to the millennium, I propose a 21st century research fund for path-breaking scientific inquiry, the largest funding increase in history for the National Institutes of Health, the National Science Foundation, the National Cancer Institute. We have already discovered genes for breast cancer and diabetes. I ask you to support this initiative so ours will be the generation that finally wins the war against cancer and begins a revolution in our fight against all deadly diseases. As important as all this scientific progress is, we must continue to see that science serves humanity, not the other way around. We must prevent the misuse of genetic tests to discriminate against	CTA
8	Analyze for yourselves the future of two other places even nearer to Germany if the Nazis won. Could Ireland hold out? Would Irish freedom be permitted as an amazing pet exception in an unfree world? Or the Islands of the Azores which still fly the flag of Portugal after five centuries? You and I think of Hawaii as an outpost of defense in the Pacific. And yet, the Azores are closer to our shores in the Atlantic than Hawaii is on the other side. There are those who say that the Axis powers would never have any desire to attack the Western Hemisphere. That (this) is the same dangerous form of wishful thinking which has destroyed the powers of resistance of so many conquered peoples. The plain facts are that the Nazis have proclaimed, time and again, that all other races are their inferiors and therefore subject to their orders. And most important of all, the vast resources and wealth of this American Hemisphere constitute the most tempting loot in all of the round world. Let us no longer blind ourselves to the undeniable fact that the evil forces which have crushed and undermined and corrupted so many others are already within our own gates. Your Government knows much about them and every day is ferreting them out. Their secret emissaries are active in our own and in neighboring countries. They seek to stir up suspicion and dissension to cause internal strife. They try to turn capital against labor, and	DO
9	And so, 1975 was a year of hard decisions, difficult compromises, and a new realism that taught us something important about America. It brought back a needed measure of common sense, steadfastness, and self-discipline. Americans did not panic or demand instant but useless cures. In all sectors, people met their difficult problems with the restraint and with responsibility worthy of their great heritage. Add up the separate pieces of progress in 1975, subtract the setbacks, and the sum total shows that we are not only headed in a new direction, a direction which I proposed 12 months ago, but it turned out to be the right direction. It is the right direction because it follows the truly revolutionary American concept of 1776, which holds that in a free society the making of public policy and successful problemsolving involves much more than government. It involves a full partnership among all branches and all levels of government, private institutions, and individual citizens. Common sense tells me to stick to that steady course. Take the state of our economy. Last January, most things were rapidly getting worse. This January, most things are slowly but surely getting better. The worst recession since World War II turned around in April. The best cost-of-living news of the past year is that double-digit inflation of 12 percent or higher was cut almost in half. The worst—unemployment remains far too high. Today, nearly 1,700,000 more Americans are working than at the bottom of the recession. At year's end,	UA
